playerId,topShotSpeed,skatingSpeed,totalDistanceSkated,distanceMaxGame,longShots,longGoals,midShots,midGoals,highShots,highGoals,offensiveZonePctg,neutralZonePctg,defensiveZonePctg,Behind the Net Shots,Beyond Red Line Shots,Center Point Shots,Crease Shots,High Slot Shots,L Circle Shots,L Corner Shots,L Net Side Shots,L Point Shots,Low Slot Shots,Offensive Neutral Zone Shots,Outside L Shots,Outside R Shots,R Circle Shots,R Corner Shots,R Net Side Shots,R Point Shots
8478402,141.8959,38.856,490.327,8.2019,8,0,93,10,145,27,0.47941323,0.17508242,0.34550435,6,0,5,14,30,33,0,17,1,131,0,17,12,30,0,16,2
8476456,137.8725,35.394,365.4958,5.8397,23,2,85,7,77,17,0.45870449,0.18995593,0.35133958,2,2,10,6,30,37,0,5,12,71,3,9,5,18,1,10,1
8476346,139.8359,37.934,386.8089,6.0033,23,1,101,11,68,20,0.44068726,0.180515,0.37879775,3,3,11,5,35,55,3,17,8,63,4,21,11,11,0,8,4
8477934,146.6112,38.435,425.572,7.1209,14,1,78,12,97,26,0.45349683,0.17350153,0.37300164,0,7,4,6,23,19,0,12,7,91,3,9,22,36,1,35,3
8478864,153.3383,36.647,406.2233,6.5852,45,5,113,18,66,14,0.4565399,0.18334286,0.36011724,1,2,20,4,44,41,0,11,19,62,4,23,15,28,1,8,6
8479318,153.7889,35.671,404.7509,7.1068,33,1,152,21,105,32,0.48310349,0.1789013,0.3379952,2,6,14,7,59,60,0,10,11,98,2,13,18,33,0,7,8
8474564,155.4304,35.074,353.0942,5.7779,25,0,102,20,49,10,0.45314897,0.17568799,0.37116304,2,0,9,1,29,63,0,13,10,48,1,36,10,10,0,3,6
8479314,141.0751,33.612,348.3836,5.3727,16,0,69,9,115,25,0.45126026,0.17967116,0.36906858,3,4,2,10,25,20,0,9,8,105,7,3,12,24,0,15,6
8476468,159.9849,36.89,408.1959,6.34,23,2,85,17,76,13,0.43530278,0.16404734,0.40064988,0,4,10,11,34,31,0,2,10,65,4,6,4,20,0,2,3
8478483,138.9508,36.353,382.1253,6.9422,29,1,88,13,72,17,0.4635099,0.17145614,0.36503395,1,5,12,5,33,22,0,6,7,67,3,7,11,33,0,2,10
