playerId,topShotSpeed,skatingSpeed,totalDistanceSkated,distanceMaxGame,longShots,longGoals,midShots,midGoals,highShots,highGoals,offensiveZonePctg,neutralZonePctg,defensiveZonePctg,Behind the Net Shots,Beyond Red Line Shots,Center Point Shots,Crease Shots,High Slot Shots,L Circle Shots,L Corner Shots,L Net Side Shots,L Point Shots,Low Slot Shots,Offensive Neutral Zone Shots,Outside L Shots,Outside R Shots,R Circle Shots,R Corner Shots,R Net Side Shots,R Point Shots
8476453,148.462,37.38,458.6025,7.5606,46,4,100,14,64,14,0.45675354,0.18415546,0.35909101,3,1,13,4,23,29,0,6,9,60,10,8,51,48,3,14,24
8477492,142.9419,38.705,483.1396,7.8235,53,3,164,19,86,21,0.47409928,0.17408395,0.35181677,1,6,28,8,33,77,0,13,16,78,5,42,22,54,0,13,9
8478402,140.0934,38.932,446.8632,7.6144,11,0,87,9,85,19,0.49650614,0.17101499,0.33247887,9,3,6,8,28,35,3,21,3,77,5,13,6,24,2,18,2
8478550,142.3465,35.484,418.1251,6.8828,56,3,130,20,40,15,0.48168005,0.17633008,0.34198987,0,2,29,4,43,31,0,13,10,36,3,28,22,56,0,9,17
8477956,154.2878,36.23,423.8857,6.7821,55,4,149,13,77,18,0.45549501,0.18087503,0.36362996,3,6,25,6,34,71,3,21,13,71,2,33,19,44,0,14,17
8479318,147.1423,36.155,453.0257,7.1472,30,3,127,23,132,29,0.45622468,0.17946093,0.3643144,5,3,20,18,42,49,0,7,6,114,1,12,31,36,0,21,4
8477934,140.7532,37.496,401.5426,6.1335,9,0,65,7,70,16,0.47786052,0.17164584,0.35049365,1,0,5,4,17,16,0,8,3,66,2,5,25,32,0,32,1
8478420,154.2073,35.921,430.926,7.1283,25,3,99,9,74,20,0.46538321,0.17289843,0.36171837,3,5,11,8,30,23,2,9,6,66,12,7,25,46,0,10,8
8476468,156.9432,36.987,377.0363,5.7216,30,2,66,16,74,17,0.46248309,0.16439116,0.37312575,2,2,20,13,17,30,0,1,6,61,2,13,1,19,0,3,4
8477939,155.3178,35.977,399.9063,6.2999,52,2,124,17,72,12,0.44171928,0.17824984,0.38003088,6,2,19,2,38,42,1,12,16,70,4,10,22,44,3,8,17
8478864,146.1767,36.428,403.2836,7.8329,28,2,90,13,88,22,0.46995423,0.17280383,0.35724194,5,4,9,12,32,30,5,8,11,76,6,18,9,28,1,15,8
8471675,146.1606,36.826,430.6841,6.6192,20,3,83,8,91,23,0.46833564,0.178612,0.35305237,6,5,6,11,21,31,4,11,11,80,7,19,15,31,3,14,3
8476887,160.3389,36.298,400.7505,5.9325,47,3,124,8,89,32,0.47666301,0.18580546,0.33753153,4,4,19,17,35,52,0,12,7,72,4,20,36,37,0,7,21
8477933,147.6734,35.246,429.4945,6.5965,14,0,64,13,100,35,0.48131594,0.16603532,0.35264873,3,5,3,5,27,13,0,13,6,95,2,7,15,24,2,8,5
8480800,153.2739,36.284,465.488,6.8321,93,7,59,5,8,0,0.48470993,0.16204187,0.3532482,0,4,53,1,17,26,0,10,33,7,0,22,2,16,0,1,7
8480069,154.7867,37.452,439.2583,7.2831,98,8,85,10,14,3,0.44136682,0.16973751,0.38889566,2,12,61,1,31,17,0,4,11,13,1,4,10,37,0,1,26
8478010,140.8015,38.862,430.9065,6.8036,6,1,79,10,116,31,0.45435314,0.18456141,0.36108546,2,0,4,9,44,8,0,4,0,107,1,4,8,27,0,7,2
8478427,143.296,36.792,407.9975,6.6901,27,2,83,15,59,13,0.48361285,0.17899813,0.33738901,3,3,11,5,23,38,2,6,9,54,2,11,13,22,0,7,7
8480012,157.1846,36.17,384.1093,6.3163,24,2,60,9,63,15,0.4639001,0.16354228,0.37255762,4,3,11,14,19,12,1,6,8,49,3,10,20,29,0,13,5
8479314,140.9142,35.094,348.5935,5.3355,30,0,60,6,114,12,0.49822125,0.17191147,0.32986728,6,2,9,14,11,13,1,2,9,100,6,13,25,36,1,20,12
8480023,141.3165,35.726,441.1111,6.6387,9,0,70,12,56,9,0.4312857,0.1682613,0.400453,5,0,3,6,21,17,0,7,3,50,3,3,10,32,1,6,3
8478483,144.3903,34.967,355.7933,6.5104,24,1,46,7,57,16,0.43781303,0.17677782,0.38540915,1,3,9,5,11,16,0,10,8,52,1,7,8,19,0,1,7
8474600,155.8972,35.211,473.0937,7.0503,116,9,80,6,24,5,0.48034979,0.18354045,0.33610976,0,6,57,1,21,26,1,6,30,23,3,14,10,33,0,8,29
8479407,136.8264,37.22,422.5723,6.5731,17,0,96,14,75,13,0.44656559,0.18422028,0.36921413,2,2,6,8,23,18,0,15,5,67,2,12,10,55,0,17,6
8480803,161.7069,35.349,428.5362,6.901,137,10,54,5,9,2,0.50076715,0.17368581,0.32554704,0,11,70,0,17,7,0,0,9,9,0,0,8,30,0,1,58
8474564,154.497,36.068,340.4701,5.4746,26,3,113,16,58,14,0.45074308,0.18207148,0.36718543,2,1,8,2,24,74,0,9,14,56,3,31,15,15,0,4,4
