assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
5,73,72,Pekka Rinne,0,166,2.38913,Rinne,18,8,0,8471469,5,0.92289,1987,20112012,L,2153,5,NSH,,250132,43
2,67,64,Marc-Andre Fleury,0,153,2.35613,Fleury,17,4,4,8470594,2,0.91346,1615,20112012,L,1768,3,PIT,,233773,42
2,62,62,Henrik Lundqvist,0,123,1.96616,Lundqvist,18,5,4,8468685,2,0.92983,1630,20112012,L,1753,8,NYR,,225210,39
2,67,67,Mike Smith,0,144,2.21356,Smith,18,10,16,8469608,2,0.9303,1922,20112012,L,2066,8,PHX,,234192,38
1,57,57,Jimmy Howard,0,119,2.12482,Howard,17,4,6,8470657,1,0.92045,1377,20112012,L,1496,6,DET,,201617,35
1,59,55,Tim Thomas,0,132,2.3631,Thomas,19,1,0,8460703,1,0.92043,1527,20112012,L,1659,5,BOS,,201091,35
2,69,69,Jonathan Quick,0,133,1.94661,Quick,21,13,6,8471734,2,0.9286,1730,20112012,L,1863,10,LAK,,245966,35
0,70,68,Miikka Kiprusoff,0,162,2.35465,Kiprusoff,22,11,0,8462147,0,0.92058,1878,20112012,L,2040,4,CGY,,247680,35
0,68,68,Antti Niemi,0,159,2.42392,Niemi,22,9,2,8474550,0,0.91474,1706,20112012,L,1865,6,SJS,,236146,34
2,59,57,Ilya Bryzgalov,0,141,2.47712,Bryzgalov,16,7,4,8468524,2,0.90926,1413,20112012,L,1554,6,PHI,,204915,33
4,63,60,Craig Anderson,0,165,2.8348,Anderson,22,6,4,8467950,4,0.91392,1752,20112012,L,1917,3,OTT,,209538,33
3,59,59,Kari Lehtonen,0,136,2.33355,Lehtonen,22,4,0,8470140,3,0.92179,1603,20112012,L,1739,4,DAL,,209809,32
1,55,54,Roberto Luongo,0,127,2.40957,Luongo,14,8,4,8466141,1,0.91946,1450,20112012,L,1577,5,VAN,,189743,31
4,59,59,Martin Brodeur,0,136,2.40531,Brodeur,21,4,2,8455710,4,0.9076,1336,20112012,L,1472,3,NJD,,203549,31
0,61,60,Ryan Miller,0,150,2.54494,Miller,21,7,0,8468011,0,0.9161,1638,20112012,L,1788,6,BUF,,212185,31
0,57,55,Corey Crawford,0,146,2.722,Crawford,17,7,0,8470645,0,0.90311,1361,20112012,L,1507,0,CHI,,193093,30
0,68,68,Cam Ward,1,182,2.73818,Ward,23,13,4,8470320,1,0.91507,1961,20112012,L,2143,5,CAR,,239283,30
2,68,67,Ondrej Pavelec,0,191,2.91422,Pavelec,28,9,0,8471715,2,0.90618,1845,20112012,L,2036,4,WPG,,235946,29
1,73,73,Jonas Hiller,0,182,2.56789,Hiller,30,12,0,8473972,1,0.90994,1839,20112012,R,2021,4,ANA,,255151,29
0,46,46,Jaroslav Halak,0,90,1.96605,Halak,12,7,0,8470860,0,0.92568,1121,20112012,L,1211,6,STL,,164797,26
1,53,52,Semyon Varlamov,0,136,2.58936,Varlamov,24,3,2,8473575,1,0.91304,1428,20112012,L,1564,4,COL,,189081,26
