assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
100,31,91,0.5,6,81,44,Kucherov,1,22,8476453,8,144,1.77777,R,13,53,20232024,0,0,0.14379,L,306,Nikita Kucherov,TBL,1300.1234
89,41,92,0.46194,9,82,51,MacKinnon,2,42,8477492,35,140,1.70731,C,10,48,20232024,0,0,0.12592,R,405,Nathan MacKinnon,COL,1368.8536
100,24,87,0.51098,5,76,32,McDavid,1,30,8478402,35,132,1.73684,C,7,44,20232024,1,1,0.12167,L,263,Connor McDavid,EDM,1281.5526
71,38,75,0.1,5,82,49,Panarin,1,24,8478550,18,120,1.46341,L,11,44,20232024,0,1,0.16171,R,303,Artemi Panarin,NYR,1207.1341
63,35,75,0.33333,5,82,47,Pastrnak,0,47,8477956,21,110,1.34146,R,12,35,20232024,0,0,0.12303,R,382,David Pastrnak,BOS,1195.7804
38,51,77,0.53449,8,81,69,Matthews,3,20,8479318,31,107,1.32098,C,18,29,20232024,0,1,0.18699,L,369,Auston Matthews,TOR,1257.9876
65,20,65,0.56926,7,81,41,Draisaitl,2,76,8477934,26,106,1.30864,C,21,39,20232024,0,2,0.18894,L,217,Leon Draisaitl,EDM,1241.7283
62,28,64,0.53816,9,80,42,Rantanen,0,50,8478420,19,104,1.3,R,14,40,20232024,0,0,0.15498,L,271,Mikko Rantanen,COL,1374.3375
66,25,61,0.56331,9,81,37,Miller,2,58,8476468,32,103,1.2716,C,10,40,20232024,2,2,0.19072,L,194,J.T. Miller,VAN,1169.395
58,26,59,0.47058,7,82,40,Nylander,2,24,8477939,1,98,1.19512,R,11,35,20232024,3,4,0.12658,R,316,William Nylander,TOR,1194.817
50,27,55,0.0,8,75,46,Kaprizov,2,36,8478864,11,96,1.28,L,19,41,20232024,0,0,0.16606,L,277,Kirill Kaprizov,MIN,1294.6133
52,32,71,0.58226,3,82,42,Crosby,0,40,8471675,7,94,1.14634,C,10,23,20232024,0,0,0.15107,L,278,Sidney Crosby,PIT,1205.2073
46,35,62,0.5,11,82,48,Forsberg,3,43,8476887,16,94,1.14634,L,13,32,20232024,0,0,0.13832,R,347,Filip Forsberg,NSH,1134.3292
37,25,55,0.4415,11,82,57,Reinhart,3,31,8477933,29,94,1.14634,C,27,34,20232024,5,5,0.24463,R,233,Sam Reinhart,FLA,1217.9878
75,12,54,,2,82,17,Hughes,1,38,8480800,38,92,1.12195,D,5,38,20232024,0,0,0.08542,L,199,Quinn Hughes,VAN,1481.0975
69,13,47,,1,77,21,Makar,0,16,8480069,15,90,1.16883,D,7,39,20232024,1,4,0.0909,R,231,Cale Makar,COL,1486.1818
44,31,58,0.45652,12,81,46,Point,0,14,8478010,-16,90,1.11111,C,15,32,20232024,0,0,0.20264,R,227,Brayden Point,TBL,1202.3456
53,24,55,0.54123,10,78,36,Aho,2,36,8478427,34,89,1.14102,C,11,32,20232024,1,2,0.16666,L,216,Sebastian Aho,CAR,1177.6538
55,21,56,0.50813,10,82,34,Pettersson,2,12,8480012,20,89,1.08536,C,13,31,20232024,0,2,0.16425,L,207,Elias Pettersson,VAN,1179.0243
62,19,55,0.33333,2,80,26,Tkachuk,0,88,8479314,19,88,1.1,L,6,32,20232024,1,1,0.09285,L,280,Matthew Tkachuk,FLA,1118.4
60,17,56,0.53123,3,82,26,Thomas,0,48,8480023,9,86,1.04878,C,8,27,20232024,1,3,0.15294,R,170,Robert Thomas,STL,1257.9878
59,17,57,0.25,2,69,26,Marner,0,18,8478483,21,85,1.23188,R,8,27,20232024,1,1,0.16455,R,158,Mitch Marner,TOR,1276.5942
62,14,51,,5,82,23,Josi,2,45,8474600,12,85,1.03658,D,9,33,20232024,0,1,0.08582,L,268,Roman Josi,NSH,1477.8658
56,20,55,0.36363,7,82,27,Bratt,0,12,8479407,-6,83,1.01219,L,7,27,20232024,0,1,0.10887,L,248,Jesper Bratt,NJD,1158.439
64,10,47,,7,81,18,Bouchard,2,32,8480803,34,82,1.01234,D,8,35,20232024,0,0,0.08181,R,220,Evan Bouchard,EDM,1379.8271
41,21,42,0.56043,6,79,40,Stamkos,0,34,8474564,-21,81,1.02531,C,19,39,20232024,0,0,0.15267,R,262,Steven Stamkos,TBL,1093.7088
57,18,49,0.57272,4,73,23,Barkov,0,24,8477493,33,80,1.09589,C,5,29,20232024,0,2,0.11917,L,193,Aleksander Barkov,FLA,1178.2054
57,18,55,0.42982,4,80,23,Barzal,2,34,8478445,-4,80,1.0,C,5,25,20232024,0,0,0.09583,R,240,Mathew Barzal,NYI,1207.95
51,20,52,,4,82,29,Robertson,0,22,8480027,19,80,0.9756,L,9,28,20232024,0,0,0.12554,L,231,Jason Robertson,DAL,1099.4878
47,25,55,0.26086,2,67,30,Guentzel,0,22,8477404,25,77,1.14925,C,5,22,20232024,0,0,0.12605,L,238,Jake Guentzel,"PIT,CAR",1201.2388
23,39,57,0.4375,7,80,54,Hyman,1,48,8475786,36,77,0.9625,L,15,20,20232024,0,0,0.1862,R,290,Zach Hyman,EDM,1170.025
52,13,52,0.58733,5,82,25,Trocheck,1,55,8476389,16,77,0.93902,C,11,24,20232024,1,1,0.11627,R,215,Vincent Trocheck,NYR,1287.2804
44,21,46,0.52555,1,82,33,Suzuki,1,36,8480018,-14,77,0.93902,C,12,31,20232024,0,0,0.17837,R,185,Nick Suzuki,MTL,1275.8414
63,9,45,,2,78,13,Hedman,0,76,8475167,18,76,0.97435,D,4,31,20232024,0,0,0.07738,L,168,Victor Hedman,TBL,1488.2564
43,24,46,0.46153,4,78,33,Keller,0,32,8479343,-20,76,0.97435,R,9,30,20232024,0,0,0.14473,L,228,Clayton Keller,ARI,1154.7435
47,20,44,0.23076,4,77,28,Kempe,1,72,8477960,13,75,0.97402,R,5,27,20232024,3,4,0.11382,L,246,Adrian Kempe,LAK,1136.0389
52,17,49,0.38461,4,81,23,Nyquist,0,8,8474679,7,75,0.92592,R,5,24,20232024,1,2,0.15032,L,153,Gustav Nyquist,NSH,1064.5432
46,19,53,0.48925,4,82,29,Kadri,2,43,8475172,0,75,0.91463,C,10,22,20232024,0,0,0.10469,L,277,Nazem Kadri,CGY,1105.5487
36,19,41,0.36458,7,82,39,Kreider,1,26,8475184,19,75,0.91463,L,18,29,20232024,2,5,0.15853,L,246,Chris Kreider,NYR,1127.0121
49,24,66,0.40983,3,82,26,Hagel,1,79,8479542,1,75,0.91463,L,2,7,20232024,0,2,0.1413,L,184,Brandon Hagel,TBL,1155.3536
47,18,43,0.37223,4,62,27,Hughes,2,12,8481559,-12,74,1.19354,C,9,31,20232024,0,0,0.09854,L,274,Jack Hughes,NJD,1258.4354
37,25,52,0.52631,2,81,37,Tkachuk,1,134,8480801,1,74,0.91358,L,12,22,20232024,0,0,0.10364,L,357,Brady Tkachuk,OTT,1148.5308
56,10,38,,5,72,17,Fox,1,36,8479323,21,73,1.01388,D,6,33,20232024,1,2,0.12408,R,137,Adam Fox,NYR,1406.6111
33,24,48,0.52,4,81,40,Boeser,1,14,8478444,23,73,0.90123,R,16,25,20232024,0,0,0.19607,R,204,Brock Boeser,VAN,1116.1358
44,18,43,0.26315,2,82,29,Fiala,1,62,8477942,1,73,0.89024,L,11,30,20232024,0,0,0.12888,L,225,Kevin Fiala,LAK,1082.1341
47,19,54,0.48124,4,74,25,Scheifele,1,57,8476460,19,72,0.97297,C,6,18,20232024,0,0,0.16233,R,154,Mark Scheifele,WPG,1211.1351
38,26,51,0.44047,7,76,34,Verhaeghe,1,36,8477409,17,72,0.94736,C,8,21,20232024,0,0,0.13821,L,246,Carter Verhaeghe,FLA,1077.75
46,12,35,0.4928,3,81,26,Zibanejad,2,30,8476459,15,72,0.88888,C,12,31,20232024,2,6,0.11764,R,221,Mika Zibanejad,NYR,1184.6296
41,25,56,0.4,4,82,31,Raymond,3,30,8482078,-12,72,0.87804,L,6,16,20232024,0,0,0.19018,R,163,Lucas Raymond,DET,1065.1951
52,17,50,0.46679,2,75,18,Stützle,2,28,8482116,-17,70,0.93333,C,1,20,20232024,0,0,0.09375,L,192,Tim Stützle,OTT,1267.1066
60,9,45,,4,79,10,Dobson,0,36,8480865,12,70,0.88607,D,1,24,20232024,0,1,0.05747,R,174,Noah Dobson,NYI,1470.5696
44,16,44,0.55064,6,81,26,Kopitar,0,22,8471685,11,70,0.86419,C,9,23,20232024,1,3,0.19548,L,133,Anze Kopitar,LAK,1179.4938
36,17,41,0.55375,5,68,33,Larkin,2,39,8477946,5,69,1.0147,C,14,26,20232024,2,2,0.14932,L,221,Dylan Larkin,DET,1210.3529
40,19,44,0.42045,7,75,29,Boldy,1,48,8481557,5,69,0.92,L,10,25,20232024,0,0,0.12775,L,227,Matt Boldy,MIN,1134.6666
59,8,50,,1,81,10,Morrissey,0,44,8477504,34,69,0.85185,D,2,19,20232024,0,0,0.05102,L,196,Josh Morrissey,WPG,1450.9382
43,12,41,0.53906,1,82,26,O'Reilly,0,18,8475158,6,69,0.84146,C,14,28,20232024,0,0,0.14444,L,180,Ryan O'Reilly,NSH,1185.9512
35,24,48,0.45235,2,82,34,Nelson,1,28,8475754,-5,69,0.84146,C,9,19,20232024,1,2,0.136,L,250,Brock Nelson,NYI,1085.0121
27,34,52,0.25,5,82,42,Marchessault,2,40,8476539,-2,69,0.84146,R,8,17,20232024,0,0,0.15789,R,266,Jonathan Marchessault,VGK,1073.6951
37,20,44,0.45484,7,63,31,Eichel,2,27,8478403,4,68,1.07936,C,11,22,20232024,0,2,0.11151,R,278,Jack Eichel,VGK,1231.1904
35,23,52,0.40206,5,76,33,Konecny,0,67,8478439,4,68,0.89473,R,4,9,20232024,6,7,0.13524,R,244,Travis Konecny,PHI,1190.421
35,22,48,0.53911,6,81,33,Horvat,3,39,8477500,-1,68,0.8395,C,10,18,20232024,1,2,0.13306,L,248,Bo Horvat,NYI,1181.6296
40,20,49,0.56596,4,71,27,Hischier,0,12,8480002,-5,67,0.94366,C,6,17,20232024,1,1,0.14835,L,182,Nico Hischier,NJD,1168.9295
49,14,38,0.47967,3,80,18,Nugent-Hopkins,0,36,8476454,10,67,0.8375,C,4,26,20232024,0,3,0.09836,L,183,Ryan Nugent-Hopkins,EDM,1177.45
34,18,44,0.44602,9,81,33,Jarvis,1,14,8482093,23,67,0.82716,R,13,20,20232024,2,3,0.1875,R,176,Seth Jarvis,CAR,1125.0
40,16,46,0.51079,4,82,27,Pavelski,1,20,8470794,12,67,0.81707,C,11,21,20232024,0,0,0.13917,R,194,Joe Pavelski,DAL,1008.5609
40,21,49,0.48564,2,82,27,Malkin,0,70,8471215,5,67,0.81707,C,6,18,20232024,0,0,0.13567,L,199,Evgeni Malkin,PIT,1115.0731
38,19,37,0.43636,6,82,29,Marchand,2,78,8473419,2,67,0.81707,L,7,26,20232024,3,4,0.14009,L,207,Brad Marchand,BOS,1146.1097
40,21,45,0.52803,5,82,27,Strome,3,22,8478440,-13,67,0.81707,C,6,22,20232024,0,0,0.15976,L,169,Dylan Strome,WSH,1077.0
40,16,48,0.42105,1,82,27,DeBrincat,0,34,8479337,1,67,0.81707,R,11,19,20232024,0,0,0.11392,R,237,Alex DeBrincat,DET,1073.5243
36,23,46,0.33333,4,82,31,Kyrou,0,22,8479385,-12,67,0.81707,R,8,21,20232024,0,0,0.1235,R,251,Jordan Kyrou,STL,1099.9024
38,21,44,0.4086,4,82,28,Batherson,1,42,8480208,-9,66,0.80487,R,7,22,20232024,0,0,0.14285,R,196,Drake Batherson,OTT,1090.4024
34,18,37,0.0,5,79,31,Ovechkin,1,20,8471214,-22,65,0.82278,L,13,28,20232024,0,0,0.11397,R,272,Alex Ovechkin,WSH,1153.2658
36,20,45,0.59319,6,80,29,Tavares,1,30,8475166,2,65,0.8125,C,9,20,20232024,0,0,0.10394,L,279,John Tavares,TOR,1071.9
40,19,49,0.56514,7,80,25,Duchene,2,20,8475168,15,65,0.8125,C,6,16,20232024,0,0,0.14534,L,172,Matt Duchene,DAL,1005.975
35,19,42,0.56183,6,80,30,Hintz,2,22,8478449,26,65,0.8125,C,8,19,20232024,3,4,0.16483,L,182,Roope Hintz,DAL,1034.3875
37,19,44,0.4375,7,82,28,Caufield,3,16,8481540,-4,65,0.79268,R,9,21,20232024,0,0,0.08917,R,314,Cole Caufield,MTL,1165.2317
33,26,52,0.50157,3,82,32,Johnston,0,38,8482740,14,65,0.79268,C,3,10,20232024,3,3,0.14814,R,216,Wyatt Johnston,DAL,1020.1463
34,17,42,0.49687,5,77,30,Eriksson Ek,0,60,8478493,18,64,0.83116,C,12,21,20232024,1,1,0.11235,L,267,Joel Eriksson Ek,MIN,1231.6493
43,16,42,0.57986,2,82,21,Giroux,1,26,8473512,-14,64,0.78048,R,3,19,20232024,2,3,0.11475,R,183,Claude Giroux,OTT,1205.5243
51,7,30,0.375,1,69,12,Zuccarello,0,30,8475692,-5,63,0.91304,R,5,33,20232024,0,0,0.06936,L,173,Mats Zuccarello,MIN,1133.5507
36,17,42,0.37378,5,80,27,Buchnevich,2,48,8477402,3,63,0.7875,L,8,18,20232024,2,3,0.13043,L,207,Pavel Buchnevich,STL,1189.475
33,18,37,0.47882,3,80,29,McCann,1,31,8477955,-10,62,0.775,L,9,23,20232024,2,2,0.13425,L,216,Jared McCann,SEA,1005.6625
51,4,32,,0,82,11,Matheson,0,58,8476875,-24,62,0.75609,D,5,28,20232024,2,2,0.05882,L,187,Mike Matheson,MTL,1533.1707
27,29,42,0.28571,10,65,34,Connor,3,6,8478398,-6,61,0.93846,L,5,19,20232024,0,0,0.15384,L,221,Kyle Connor,WPG,1183.4769
39,18,40,0.38909,2,68,22,Bedard,1,28,8484144,-44,61,0.89705,C,4,21,20232024,0,0,0.10679,R,206,Connor Bedard,CHI,1187.0
39,11,39,0.41,3,79,22,Schmaltz,1,10,8477951,-16,61,0.77215,C,10,21,20232024,1,1,0.13924,R,158,Nick Schmaltz,ARI,1150.6708
36,25,54,0.26666,7,82,25,Ehlers,1,29,8477940,27,61,0.7439,L,0,7,20232024,0,0,0.10729,L,233,Nikolaj Ehlers,WPG,952.4268
48,11,36,0.46768,1,69,12,Granlund,1,32,8475798,-23,60,0.86956,C,1,23,20232024,0,1,0.08955,L,134,Mikael Granlund,SJS,1257.5652
30,22,43,0.56217,2,70,30,Karlsson,0,22,8476448,15,60,0.85714,C,7,15,20232024,1,2,0.17142,L,175,William Karlsson,VGK,1056.1
48,11,42,0.0,3,81,12,Gaudreau,1,22,8476346,-27,60,0.74074,L,1,18,20232024,0,0,0.075,L,160,Johnny Gaudreau,CBJ,1128.7777
39,13,35,0.61235,3,82,21,Benn,0,41,8473994,8,60,0.7317,L,7,22,20232024,1,3,0.12804,L,164,Jamie Benn,DAL,907.1951
35,17,44,0.51591,5,82,25,Coyle,0,38,8475745,-2,60,0.7317,C,7,11,20232024,1,5,0.17006,R,147,Charlie Coyle,BOS,1083.9878
23,21,36,0.33333,7,82,37,Vatrano,2,85,8478366,-20,60,0.7317,R,13,20,20232024,3,4,0.13602,L,272,Frank Vatrano,ANA,1100.6829
37,19,47,0.4,7,75,22,Tuch,0,54,8477949,9,59,0.78666,R,2,11,20232024,1,1,0.11458,R,192,Alex Tuch,BUF,1170.2266
38,15,44,0.54775,6,78,21,Zacha,1,18,8478401,12,59,0.75641,C,6,15,20232024,0,0,0.14189,L,148,Pavel Zacha,BOS,1086.3974
39,14,39,,2,81,20,Dahlin,1,66,8480839,-3,59,0.72839,D,6,20,20232024,0,0,0.0851,L,235,Rasmus Dahlin,BUF,1525.3456
39,12,34,0.32142,3,82,20,Bjorkstrand,0,12,8477416,-20,59,0.71951,R,8,25,20232024,0,0,0.10752,R,186,Oliver Bjorkstrand,SEA,970.9756
28,22,35,0.39002,4,82,31,Sharangovich,1,8,8481068,-29,59,0.71951,C,6,17,20232024,3,7,0.17318,L,179,Yegor Sharangovich,CGY,1038.8902
33,15,36,0.54874,5,83,26,Monahan,0,12,8477497,-1,59,0.71084,C,9,21,20232024,2,2,0.15204,L,171,Sean Monahan,"MTL,WPG",1085.6506
51,6,38,,0,72,7,Rielly,0,27,8476853,7,58,0.80555,D,1,20,20232024,0,0,0.04046,L,173,Morgan Rielly,TOR,1424.4722
46,9,45,,0,70,11,Werenski,0,22,8478460,0,57,0.81428,D,2,12,20232024,0,0,0.05445,L,202,Zach Werenski,CBJ,1467.0857
39,15,48,0.47064,1,80,18,Mittelstadt,0,32,8479999,10,57,0.7125,C,3,9,20232024,0,0,0.14173,L,127,Casey Mittelstadt,"BUF,COL",1063.775
26,27,48,0.29166,5,82,31,Moore,0,28,8479675,11,57,0.69512,L,2,7,20232024,2,2,0.12704,L,244,Trevor Moore,LAK,1078.7926
