szn,winner,runner_up,finalist
,,,
2024-25,https://www.nhl.com/player/aleksander-barkov-8477493,https://www.nhl.com/player/sam-reinhart-8477933,https://www.nhl.com/player/anthony-cirelli-8478519
,,,
2023-24,https://www.nhl.com/player/aleksander-barkov-8477493,https://www.nhl.com/player/jordan-staal-8473533,https://www.nhl.com/player/auston-matthews-8479318
,,,
2022-23,https://www.nhl.com/player/patrice-bergeron-8470638,https://www.nhl.com/player/nico-hischier-8480002,https://www.nhl.com/player/mitch-marner-8478483
,,,
2021-22,https://www.nhl.com/player/patrice-bergeron-8470638,https://www.nhl.com/player/elias-lindholm-8477496,https://www.nhl.com/player/aleksander-barkov-8477493
,,,
2020-21,https://www.nhl.com/player/aleksander-barkov-8477493,https://www.nhl.com/player/patrice-bergeron-8470638,https://www.nhl.com/player/mark-stone-8475913
,,,
2019-20,https://www.nhl.com/player/sean-couturier-8476461,https://www.nhl.com/player/patrice-bergeron-8470638,https://www.nhl.com/player/ryan-o-reilly-8475158
,,,
2018-19,https://www.nhl.com/player/ryan-o-reilly-8475158,https://www.nhl.com/player/mark-stone-8475913,https://www.nhl.com/player/patrice-bergeron-8470638
,,,
2017-18,https://www.nhl.com/player/anze-kopitar-8471685,https://www.nhl.com/player/sean-couturier-8476461,https://www.nhl.com/player/patrice-bergeron-8470638
,,,
2016-17,https://www.nhl.com/player/patrice-bergeron-8470638,https://www.nhl.com/player/ryan-kesler-8470616,https://www.nhl.com/player/mikko-koivu-8469459
,,,
2015-16,https://www.nhl.com/player/anze-kopitar-8471685,https://www.nhl.com/player/patrice-bergeron-8470638,https://www.nhl.com/player/ryan-kesler-8470616
,,,
2014-15,https://www.nhl.com/player/patrice-bergeron-8470638,https://www.nhl.com/player/jonathan-toews-8473604,https://www.nhl.com/player/anze-kopitar-8471685
,,,
2013-14,https://www.nhl.com/player/patrice-bergeron-8470638,https://www.nhl.com/player/anze-kopitar-8471685,https://www.nhl.com/player/jonathan-toews-8473604
,,,
2012-13,https://www.nhl.com/player/jonathan-toews-8473604,https://www.nhl.com/player/patrice-bergeron-8470638,https://www.nhl.com/player/pavel-datsyuk-8467514
,,,
2011-12,https://www.nhl.com/player/patrice-bergeron-8470638,https://www.nhl.com/player/david-backes-8470655,https://www.nhl.com/player/pavel-datsyuk-8467514
,,,
2010-11,https://www.nhl.com/player/ryan-kesler-8470616,https://www.nhl.com/player/jonathan-toews-8473604,https://www.nhl.com/player/pavel-datsyuk-8467514
,,,
2009-10,https://www.nhl.com/player/pavel-datsyuk-8467514,https://www.nhl.com/player/ryan-kesler-8470616,https://www.nhl.com/player/jordan-staal-8473533
,,,
2008-09,https://www.nhl.com/player/pavel-datsyuk-8467514,https://www.nhl.com/player/mike-richards-8470617,https://www.nhl.com/player/ryan-kesler-8470616
,,,
2007-08,https://www.nhl.com/player/pavel-datsyuk-8467514,https://www.nhl.com/player/john-madden-8466371,https://www.nhl.com/player/henrik-zetterberg-8468083
,,,
2006-07,https://www.nhl.com/player/rod-brind-amour-8445735,https://www.nhl.com/player/samuel-pahlsson-8465192,https://www.nhl.com/player/jay-pandolfo-8459454
,,,
2005-06,https://www.nhl.com/player/rod-brind-amour-8445735,https://www.nhl.com/player/jere-lehtinen-8459024,https://www.nhl.com/player/mike-fisher-8467370
,,,
2003-04,https://www.nhl.com/player/kris-draper-8446485,https://www.nhl.com/player/john-madden-8466371,https://www.nhl.com/player/alyn-mccauley-8462105
,,,
2002-03,https://www.nhl.com/player/jere-lehtinen-8459024,https://www.nhl.com/player/john-madden-8466371,https://www.nhl.com/player/wes-walz-8452285
,,,
2001-02,https://www.nhl.com/player/michael-peca-8458976,https://www.nhl.com/player/craig-conroy-8455919,https://www.nhl.com/player/jere-lehtinen-8459024
,,,
2000-01,https://www.nhl.com/player/john-madden-8466371,https://www.nhl.com/player/joe-sakic-8451101,https://www.nhl.com/player/mike-modano-8449645
,,,
1999-00,https://www.nhl.com/player/steve-yzerman-8452578,https://www.nhl.com/player/michal-handzus-8462129,https://www.nhl.com/player/mike-ricci-8450817
,,,
1998-99,https://www.nhl.com/player/jere-lehtinen-8459024,https://www.nhl.com/player/magnus-arvedson-8466249,https://www.nhl.com/player/michael-peca-8458976
,,,
1997-98,https://www.nhl.com/player/jere-lehtinen-8459024,https://www.nhl.com/player/michael-peca-8458976,https://www.nhl.com/player/craig-conroy-8455919
,,,
1996-97,https://www.nhl.com/player/michael-peca-8458976,https://www.nhl.com/player/peter-forsberg-8458520,https://www.nhl.com/player/jere-lehtinen-8459024
,,,
1995-96,https://www.nhl.com/player/sergei-fedorov-8446788,https://www.nhl.com/player/ron-francis-8446951,https://www.nhl.com/player/steve-yzerman-8452578
,,,
1994-95,https://www.nhl.com/player/ron-francis-8446951,https://www.nhl.com/player/esa-tikkanen-8451905,https://www.nhl.com/player/joel-otto-8450088
,,,
1993-94,https://www.nhl.com/player/sergei-fedorov-8446788,https://www.nhl.com/player/doug-gilmour-8447206,https://www.nhl.com/player/brian-skrudland-8451427
,,,
1992-93,https://www.nhl.com/player/doug-gilmour-8447206,https://www.nhl.com/player/dave-poulin-8450512,https://www.nhl.com/player/joel-otto-8450088
,,,
