szn,winner,runner_up,finalist
,,,
2024-25,https://www.nhl.com/player/cale-makar-8480069,https://www.nhl.com/player/zach-werenski-8478460,https://www.nhl.com/player/quinn-hughes-8480800
,,,
2023-24,https://www.nhl.com/player/quinn-hughes-8480800,https://www.nhl.com/player/roman-josi-8474600,https://www.nhl.com/player/cale-makar-8480069
,,,
2022-23,https://www.nhl.com/player/erik-karlsson-8474578,https://www.nhl.com/player/adam-fox-8479323,https://www.nhl.com/player/cale-makar-8480069
,,,
2021-22,https://www.nhl.com/player/cale-makar-8480069,https://www.nhl.com/player/roman-josi-8474600,https://www.nhl.com/player/victor-hedman-8475167
,,,
2020-21,https://www.nhl.com/player/adam-fox-8479323,https://www.nhl.com/player/cale-makar-8480069,https://www.nhl.com/player/victor-hedman-8475167
,,,
2019-20,https://www.nhl.com/player/roman-josi-8474600,https://www.nhl.com/player/john-carlson-8474590,https://www.nhl.com/player/victor-hedman-8475167
,,,
2018-19,https://www.nhl.com/player/mark-giordano-8470966,https://www.nhl.com/player/brent-burns-8470613,https://www.nhl.com/player/victor-hedman-8475167
,,,
2017-18,https://www.nhl.com/player/victor-hedman-8475167,https://www.nhl.com/player/drew-doughty-8474563,https://www.nhl.com/player/p-k-subban-8474056
,,,
2016-17,https://www.nhl.com/player/brent-burns-8470613,https://www.nhl.com/player/erik-karlsson-8474578,https://www.nhl.com/player/victor-hedman-8475167
,,,
2015-16,https://www.nhl.com/player/drew-doughty-8474563,https://www.nhl.com/player/erik-karlsson-8474578,https://www.nhl.com/player/brent-burns-8470613
,,,
2014-15,https://www.nhl.com/player/erik-karlsson-8474578,https://www.nhl.com/player/drew-doughty-8474563,https://www.nhl.com/player/p-k-subban-8474056
,,,
2013-14,https://www.nhl.com/player/duncan-keith-8470281,https://www.nhl.com/player/zdeno-chara-8465009,https://www.nhl.com/player/shea-weber-8470642
,,,
2012-13,https://www.nhl.com/player/p-k-subban-8474056,https://www.nhl.com/player/ryan-suter-8470600,https://www.nhl.com/player/kris-letang-8471724
,,,
2011-12,https://www.nhl.com/player/erik-karlsson-8474578,https://www.nhl.com/player/shea-weber-8470642,https://www.nhl.com/player/zdeno-chara-8465009
,,,
2010-11,https://www.nhl.com/player/nicklas-lidstrom-8457063,https://www.nhl.com/player/shea-weber-8470642,https://www.nhl.com/player/zdeno-chara-8465009
,,,
2009-10,https://www.nhl.com/player/duncan-keith-8470281,https://www.nhl.com/player/mike-green-8471242,https://www.nhl.com/player/drew-doughty-8474563
,,,
2008-09,https://www.nhl.com/player/zdeno-chara-8465009,https://www.nhl.com/player/mike-green-8471242,https://www.nhl.com/player/nicklas-lidstrom-8457063
,,,
2007-08,https://www.nhl.com/player/nicklas-lidstrom-8457063,https://www.nhl.com/player/dion-phaneuf-8470602,https://www.nhl.com/player/zdeno-chara-8465009
,,,
2006-07,https://www.nhl.com/player/nicklas-lidstrom-8457063,https://www.nhl.com/player/scott-niedermayer-8458517,https://www.nhl.com/player/chris-pronger-8459424
,,,
