szn,winner,runner_up,finalist
,,,
2025-26,"('https://www.nhl.com/player/nathan-mackinnon-8477492', 53)","('https://www.nhl.com/player/cole-caufield-8481540', 51)","('https://www.nhl.com/player/connor-mcdavid-8478402', 48)"
,,,
2024-25,"('https://www.nhl.com/player/leon-draisaitl-8477934', 52)","('https://www.nhl.com/player/william-nylander-8477939', 45)","[('https://www.nhl.com/player/alex-ovechkin-8471214', 44), ('https://www.nhl.com/player/tage-thompson-8479420', 44)]"
,,,
2023-24,"('https://www.nhl.com/player/auston-matthews-8479318', 69)","('https://www.nhl.com/player/sam-reinhart-8477933', 57)","('https://www.nhl.com/player/zach-hyman-8475786', 54)"
,,,
2022-23,"('https://www.nhl.com/player/connor-mcdavid-8478402', 64)","('https://www.nhl.com/player/david-pastrnak-8477956', 61)","('https://www.nhl.com/player/mikko-rantanen-8478420', 55)"
,,,
2021-22,"('https://www.nhl.com/player/auston-matthews-8479318', 60)","('https://www.nhl.com/player/leon-draisaitl-8477934', 55)","('https://www.nhl.com/player/chris-kreider-8475184', 52)"
,,,
2020-21,"('https://www.nhl.com/player/auston-matthews-8479318', 41)","('https://www.nhl.com/player/connor-mcdavid-8478402', 33)","('https://www.nhl.com/player/alex-debrincat-8479337', 32)"
,,,
2019-20,"[('https://www.nhl.com/player/david-pastrnak-8477956', 48), ('https://www.nhl.com/player/alex-ovechkin-8471214', 48)]","('https://www.nhl.com/player/auston-matthews-8479318', 47)","('https://www.nhl.com/player/leon-draisaitl-8477934', 43)"
,,,
2018-19,"('https://www.nhl.com/player/alex-ovechkin-8471214', 51)","('https://www.nhl.com/player/leon-draisaitl-8477934', 50)","('https://www.nhl.com/player/john-tavares-8475166', 47)"
,,,
2017-18,"('https://www.nhl.com/player/alex-ovechkin-8471214', 49)","('https://www.nhl.com/player/patrik-laine-8479339', 44)","('https://www.nhl.com/player/william-karlsson-8476448', 43)"
,,,
2016-17,"('https://www.nhl.com/player/sidney-crosby-8471675', 44)","('https://www.nhl.com/player/nikita-kucherov-8476453', 40)","('https://www.nhl.com/player/auston-matthews-8479318', 40)"
,,,
2015-16,"('https://www.nhl.com/player/alex-ovechkin-8471214', 50)","('https://www.nhl.com/player/patrick-kane-8474141', 46)","('https://www.nhl.com/player/jamie-benn-8473994', 41)"
,,,
2014-15,"('https://www.nhl.com/player/alex-ovechkin-8471214', 53)","('https://www.nhl.com/player/steven-stamkos-8474564', 43)","('https://www.nhl.com/player/rick-nash-8470041', 42)"
,,,
2013-14,"('https://www.nhl.com/player/alex-ovechkin-8471214', 51)","('https://www.nhl.com/player/corey-perry-8470621', 43)","('https://www.nhl.com/player/joe-pavelski-8470794', 41)"
,,,
