szn,winner,runner_up
,,
2025-26,/col/overview/season-by-season-record,/car/overview/season-by-season-record
,,
2024-25,/wpg/overview/season-by-season-record,/wsh/overview/season-by-season-record
,,
2023-24,/nyr/overview/season-by-season-record,/dal/overview/season-by-season-record
,,
2022-23,/bos/overview/season-by-season-record,/car/overview/season-by-season-record
,,
2021-22,/fla/overview/season-by-season-record,/col/overview/season-by-season-record
,,
2020-21,/col/overview/season-by-season-record,/vgk/overview/season-by-season-record
,,
2019-20,/bos/overview/season-by-season-record,/stl/overview/season-by-season-record
,,
2018-19,/tbl/overview/season-by-season-record,/cgy/overview/season-by-season-record
,,
2017-18,/nsh/overview/season-by-season-record,/wpg/overview/season-by-season-record
,,
2016-17,/wsh/overview/season-by-season-record,/pit/overview/season-by-season-record
,,
2015-16,/wsh/overview/season-by-season-record,/dal/overview/season-by-season-record
,,
2014-15,/nyr/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
2013-14,/bos/overview/season-by-season-record,/ana/overview/season-by-season-record
,,
2012-13,/chi/overview/season-by-season-record,/pit/overview/season-by-season-record
,,
2011-12,/van/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
2010-11,/van/overview/season-by-season-record,/wsh/overview/season-by-season-record
,,
2009-10,/wsh/overview/season-by-season-record,/sjs/overview/season-by-season-record
,,
2008-09,/sjs/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
2007-08,/det/overview/season-by-season-record,/sjs/overview/season-by-season-record
,,
2006-07,/buf/overview/season-by-season-record,/det/overview/season-by-season-record
,,
2005-06,/det/overview/season-by-season-record,/ott/overview/season-by-season-record
,,
2003-04,/det/overview/season-by-season-record,/tbl/overview/season-by-season-record
,,
2002-03,/ott/overview/season-by-season-record,/dal/overview/season-by-season-record
,,
2001-02,/det/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
2000-01,/col/overview/season-by-season-record,/det/overview/season-by-season-record
,,
1999-00,/stl/overview/season-by-season-record,/det/overview/season-by-season-record
,,
1998-99,/dal/overview/season-by-season-record,/njd/overview/season-by-season-record
,,
1997-98,/dal/overview/season-by-season-record,/njd/overview/season-by-season-record
,,
1996-97,/col/overview/season-by-season-record,/dal/overview/season-by-season-record
,,
1995-96,/det/overview/season-by-season-record,/col/overview/season-by-season-record
,,
1994-95,/det/overview/season-by-season-record,/col/overview/season-by-season-record
,,
1993-94,/nyr/overview/season-by-season-record,/njd/overview/season-by-season-record
,,
1992-93,/pit/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1991-92,/nyr/overview/season-by-season-record,/wsh/overview/season-by-season-record
,,
1990-91,/chi/overview/season-by-season-record,/stl/overview/season-by-season-record
,,
1989-90,/bos/overview/season-by-season-record,/cgy/overview/season-by-season-record
,,
1988-89,/cgy/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1987-88,/cgy/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1986-87,/edm/overview/season-by-season-record,/phi/overview/season-by-season-record
,,
1985-86,/edm/overview/season-by-season-record,/phi/overview/season-by-season-record
