szn,winner,runner_up
,,
2024-25,/fla/overview/season-by-season-record,/car/overview/season-by-season-record
,,
2023-24,/fla/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
2022-23,/fla/overview/season-by-season-record,/car/overview/season-by-season-record
,,
2021-22,/tbl/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
2020-21,/tbl/overview/season-by-season-record,/nyi/overview/season-by-season-record
,,
2019-20,/tbl/overview/season-by-season-record,/nyi/overview/season-by-season-record
,,
2018-19,/bos/overview/season-by-season-record,/car/overview/season-by-season-record
,,
2017-18,/wsh/overview/season-by-season-record,/tbl/overview/season-by-season-record
,,
2016-17,/pit/overview/season-by-season-record,/ott/overview/season-by-season-record
,,
2015-16,/pit/overview/season-by-season-record,/tbl/overview/season-by-season-record
,,
2014-15,/tbl/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
2013-14,/nyr/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
2012-13,/bos/overview/season-by-season-record,/pit/overview/season-by-season-record
,,
2011-12,/njd/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
2010-11,/bos/overview/season-by-season-record,/tbl/overview/season-by-season-record
,,
2009-10,/phi/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
2008-09,/pit/overview/season-by-season-record,/car/overview/season-by-season-record
,,
2007-08,/pit/overview/season-by-season-record,/phi/overview/season-by-season-record
,,
2006-07,/ott/overview/season-by-season-record,/buf/overview/season-by-season-record
,,
2005-06,/car/overview/season-by-season-record,/buf/overview/season-by-season-record
,,
2003-04,/tbl/overview/season-by-season-record,/phi/overview/season-by-season-record
,,
2002-03,/njd/overview/season-by-season-record,/ott/overview/season-by-season-record
,,
2001-02,/car/overview/season-by-season-record,/tor/overview/season-by-season-record
,,
2000-01,/njd/overview/season-by-season-record,/pit/overview/season-by-season-record
,,
1999-00,/njd/overview/season-by-season-record,/phi/overview/season-by-season-record
,,
1998-99,/buf/overview/season-by-season-record,/tor/overview/season-by-season-record
,,
1997-98,/wsh/overview/season-by-season-record,/buf/overview/season-by-season-record
,,
1996-97,/phi/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
1995-96,/fla/overview/season-by-season-record,/pit/overview/season-by-season-record
,,
1994-95,/njd/overview/season-by-season-record,/phi/overview/season-by-season-record
,,
1993-94,/nyr/overview/season-by-season-record,/njd/overview/season-by-season-record
,,
1992-93,/mtl/overview/season-by-season-record,/nyi/overview/season-by-season-record
,,
1991-92,/pit/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1990-91,/pit/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1989-90,/bos/overview/season-by-season-record,/wsh/overview/season-by-season-record
,,
1988-89,/mtl/overview/season-by-season-record,/phi/overview/season-by-season-record
,,
1987-88,/bos/overview/season-by-season-record,/njd/overview/season-by-season-record
,,
1986-87,/phi/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1985-86,/mtl/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
1984-85,/phi/overview/season-by-season-record,/col/overview/season-by-season-record
,,
1983-84,/nyi/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1982-83,/nyi/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1981-82,/nyi/overview/season-by-season-record,/col/overview/season-by-season-record
,,
1980-81,/mtl/overview/season-by-season-record,/lak/overview/season-by-season-record
,,
1979-80,/buf/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1978-79,/mtl/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1977-78,/mtl/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1976-77,/mtl/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1975-76,/mtl/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1974-75,/buf/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1973-74,/bos/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1972-73,/mtl/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1971-72,/bos/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
1970-71,/bos/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
1969-70,/chi/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1968-69,/mtl/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1967-68,/mtl/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
1966-67,/chi/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1965-66,/mtl/overview/season-by-season-record,/chi/overview/season-by-season-record
,,
1964-65,/det/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1963-64,/mtl/overview/season-by-season-record,/chi/overview/season-by-season-record
,,
1962-63,/tor/overview/season-by-season-record,/chi/overview/season-by-season-record
,,
1961-62,/mtl/overview/season-by-season-record,/tor/overview/season-by-season-record
,,
1960-61,/mtl/overview/season-by-season-record,/tor/overview/season-by-season-record
,,
1959-60,/mtl/overview/season-by-season-record,/tor/overview/season-by-season-record
,,
1958-59,/mtl/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1957-58,/mtl/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
1956-57,/det/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1955-56,/mtl/overview/season-by-season-record,/det/overview/season-by-season-record
,,
1954-55,/det/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1953-54,/det/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1952-53,/det/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1951-52,/det/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1950-51,/det/overview/season-by-season-record,/tor/overview/season-by-season-record
,,
1949-50,/det/overview/season-by-season-record,/mtl/overview/season-by-season-record
,,
1948-49,/det/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1947-48,/tor/overview/season-by-season-record,/det/overview/season-by-season-record
,,
1946-47,/mtl/overview/season-by-season-record,/tor/overview/season-by-season-record
,,
1945-46,/mtl/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1944-45,/mtl/overview/season-by-season-record,/det/overview/season-by-season-record
,,
1943-44,/mtl/overview/season-by-season-record,/det/overview/season-by-season-record
,,
1942-43,/det/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1941-42,/nyr/overview/season-by-season-record,/tor/overview/season-by-season-record
,,
1940-41,/bos/overview/season-by-season-record,/tor/overview/season-by-season-record
,,
1939-40,/bos/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
1938-39,/bos/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
1937-38,/bos/overview/season-by-season-record,/nyr/overview/season-by-season-record
,,
1936-37,/det/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1935-36,/det/overview/season-by-season-record,/bos/overview/season-by-season-record
,,
1934-35,/bos/overview/season-by-season-record,/chi/overview/season-by-season-record
,,
1933-34,/det/overview/season-by-season-record,/chi/overview/season-by-season-record
,,
1932-33,/bos/overview/season-by-season-record,/det/overview/season-by-season-record
,,
1931-32,/nyr/overview/season-by-season-record,/chi/overview/season-by-season-record
,,
1930-31,/bos/overview/season-by-season-record,/chi/overview/season-by-season-record
,,
