szn,Winner,runner_up,finalist
,,,
2024-25,https://www.nhl.com/player/connor-hellebuyck-8476945,https://www.nhl.com/player/andrei-vasilevskiy-8476883,https://www.nhl.com/player/darcy-kuemper-8475311
,,,
2023-24,https://www.nhl.com/player/connor-hellebuyck-8476945,https://www.nhl.com/player/thatcher-demko-8477967,https://www.nhl.com/player/sergei-bobrovsky-8475683
,,,
2022-23,https://www.nhl.com/player/linus-ullmark-8476999,https://www.nhl.com/player/ilya-sorokin-8478009,https://www.nhl.com/player/connor-hellebuyck-8476945
,,,
2021-22,https://www.nhl.com/player/igor-shesterkin-8478048,https://www.nhl.com/player/jacob-markstrom-8474593,https://www.nhl.com/player/juuse-saros-8477424
,,,
2020-21,https://www.nhl.com/player/marc-andre-fleury-8470594,https://www.nhl.com/player/andrei-vasilevskiy-8476883,https://www.nhl.com/player/philipp-grubauer-8475831
,,,
2019-20,https://www.nhl.com/player/connor-hellebuyck-8476945,https://www.nhl.com/player/tuukka-rask-8471695,https://www.nhl.com/player/andrei-vasilevskiy-8476883
,,,
2018-19,https://www.nhl.com/player/andrei-vasilevskiy-8476883,https://www.nhl.com/player/ben-bishop-8471750,https://www.nhl.com/player/robin-lehner-8475215
,,,
2017-18,https://www.nhl.com/player/pekka-rinne-8471469,https://www.nhl.com/player/connor-hellebuyck-8476945,https://www.nhl.com/player/andrei-vasilevskiy-8476883
,,,
2016-17,https://www.nhl.com/player/sergei-bobrovsky-8475683,https://www.nhl.com/player/braden-holtby-8474651,https://www.nhl.com/player/carey-price-8471679
,,,
2015-16,https://www.nhl.com/player/braden-holtby-8474651,https://www.nhl.com/player/ben-bishop-8471750,https://www.nhl.com/player/jonathan-quick-8471734
,,,
2014-15,https://www.nhl.com/player/carey-price-8471679,https://www.nhl.com/player/pekka-rinne-8471469,https://www.nhl.com/player/devan-dubnyk-8471227
,,,
2013-14,https://www.nhl.com/player/tuukka-rask-8471695,https://www.nhl.com/player/semyon-varlamov-8473575,https://www.nhl.com/player/ben-bishop-8471750
,,,
2012-13,https://www.nhl.com/player/sergei-bobrovsky-8475683,https://www.nhl.com/player/henrik-lundqvist-8468685,https://www.nhl.com/player/antti-niemi-8474550
,,,
2011-12,https://www.nhl.com/player/henrik-lundqvist-8468685,https://www.nhl.com/player/jonathan-quick-8471734,https://www.nhl.com/player/pekka-rinne-8471469
,,,
2010-11,https://www.nhl.com/player/tim-thomas-8460703,https://www.nhl.com/player/pekka-rinne-8471469,https://www.nhl.com/player/roberto-luongo-8466141
,,,
2009-10,https://www.nhl.com/player/ryan-miller-8468011,https://www.nhl.com/player/ilya-bryzgalov-8468524,https://www.nhl.com/player/martin-brodeur-8455710
,,,
2008-09,https://www.nhl.com/player/tim-thomas-8460703,https://www.nhl.com/player/steve-mason-8473461,https://www.nhl.com/player/niklas-backstrom-8473404
,,,
2007-08,https://www.nhl.com/player/martin-brodeur-8455710,https://www.nhl.com/player/evgeni-nabokov-8460705,https://www.nhl.com/player/henrik-lundqvist-8468685
,,,
2006-07,https://www.nhl.com/player/martin-brodeur-8455710,https://www.nhl.com/player/roberto-luongo-8466141,https://www.nhl.com/player/miikka-kiprusoff-8462147
,,,
2005-06,https://www.nhl.com/player/miikka-kiprusoff-8462147,https://www.nhl.com/player/martin-brodeur-8455710,https://www.nhl.com/player/henrik-lundqvist-8468685
,,,
2003-04,https://www.nhl.com/player/martin-brodeur-8455710,https://www.nhl.com/player/miikka-kiprusoff-8462147,https://www.nhl.com/player/roberto-luongo-8466141
,,,
2002-03,https://www.nhl.com/player/martin-brodeur-8455710,https://www.nhl.com/player/marty-turco-8460612,https://www.nhl.com/player/ed-belfour-8445386
,,,
2001-02,https://www.nhl.com/player/jose-theodore-8460535,https://www.nhl.com/player/patrick-roy-8451033,https://www.nhl.com/player/sean-burke-8445769
,,,
2000-01,https://www.nhl.com/player/dominik-hasek-8447687,https://www.nhl.com/player/roman-cechmanek-8468651,https://www.nhl.com/player/martin-brodeur-8455710
,,,
1999-00,https://www.nhl.com/player/olie-kolzig-8448535,https://www.nhl.com/player/roman-turek-8458266,https://www.nhl.com/player/curtis-joseph-8448382
,,,
1998-99,https://www.nhl.com/player/dominik-hasek-8447687,https://www.nhl.com/player/curtis-joseph-8448382,https://www.nhl.com/player/byron-dafoe-8455994
,,,
1997-98,https://www.nhl.com/player/dominik-hasek-8447687,https://www.nhl.com/player/martin-brodeur-8455710,https://www.nhl.com/player/tom-barrasso-8445275
,,,
1996-97,https://www.nhl.com/player/dominik-hasek-8447687,https://www.nhl.com/player/martin-brodeur-8455710,https://www.nhl.com/player/patrick-roy-8451033
,,,
1995-96,https://www.nhl.com/player/jim-carey-8458968,https://www.nhl.com/player/chris-osgood-8458568,https://www.nhl.com/player/daren-puppa-8450627
,,,
1994-95,https://www.nhl.com/player/dominik-hasek-8447687,https://www.nhl.com/player/ed-belfour-8445386,https://www.nhl.com/player/jim-carey-8458968
,,,
